"Year","Quarter","MeanBT","CVofBT"
"1977",1,4.7802764748004,0.410644319087685
"1977",3,12.3732407333858,0.191684485043329
"1978",1,4.94884714001072,0.305981421369354
"1978",3,12.4926956484369,0.210315177835618
"1979",1,4.65209631837061,0.496232613201735
"1979",3,13.0224499159444,0.252943977673559
"1980",1,5.50568153335564,0.260210226491961
"1980",3,12.6776848497988,0.187929411357351
"1981",1,5.20673427020988,0.296325621630763
"1981",3,14.3504388468196,0.177314102735061
"1982",1,4.65111370843566,0.413123491006638
"1982",3,13.8184852082687,0.176449206699903
"1983",1,5.63747826334736,0.222141327182098
"1983",3,12.8775781562409,0.247119160593595
"1984",1,5.20785894485473,0.327744414381567
"1984",3,13.1864036985944,0.215161766230469
"1985",1,4.47311731321004,0.517033225986204
"1985",3,13.2698784252792,0.182544805387982
"1986",1,4.19837847500018,0.563406434992342
"1986",3,12.774897987432,0.193821120465576
"1987",1,4.52246522830952,0.488412688201993
"1987",3,12.3831097151818,0.20780782499762
"1988",1,6.57454549854659,0.231587936796258
"1988",3,13.892174421008,0.170684769122013
"1989",1,6.57712913861999,0.22001792657057
"1989",3,14.7236747480334,0.131823898018941
"1990",1,6.35666012949221,0.239861131348508
"1990",3,14.7873953720446,0.184605575317798
"1991",1,4.84864162711238,0.453110350485248
"1991",3,15.8989627787981,0.15396802973969
"1992",1,5.67460735511951,0.290785054009289
"1992",3,14.6079662104964,0.159566544379228
"1993",1,5.18536585625559,0.33519611325973
"1993",3,13.6074442909816,0.178012977072427
"1994",1,4.39380819221852,0.446219364103473
"1994",3,15.4594766633077,0.213929057617439
"1995",1,5.18743792412184,0.377266647095491
"1995",3,14.6822460940601,0.19518195588084
"1996",1,4.70550864758348,0.668145934145772
"1996",3,13.9962517174958,0.202887521101915
"1997",1,4.59267794020429,0.498491947076491
"1997",3,14.9921952572088,0.227338889828517
"1998",1,6.16950099934235,0.281435235393448
"1998",3,13.8837222175963,0.157151322275598
"1999",1,5.47081611780782,0.376856681335
"1999",3,15.0068220372645,0.202146429481108
"2000",1,5.65568939412527,0.287438499860192
"2000",3,14.1635591319893,0.181139772199705
"2001",1,5.51656586540332,0.353488978072132
"2001",3,14.6823215933893,0.199350194026379
"2002",1,6.13090688127966,0.313742845446283
"2002",3,15.5662267210036,0.198647864463102
"2003",1,4.98303256824225,0.512498796493109
"2003",3,15.0273822410538,0.206365516358353
"2004",1,5.39737967812315,0.401220417710734
"2004",3,14.7848256846154,0.198694389889529
"2005",1,5.37175772069863,0.383090222170587
"2005",3,14.5055586428229,0.196335975087788
"2006",1,5.56432216903622,0.431546707855335
"2006",3,14.8873644721505,0.201523309466865
"2007",1,6.73582787704264,0.261590059570837
"2007",3,14.5697682942188,0.161141521407173
"2008",1,6.05507190497245,0.262029094101654
"2008",3,15.1085065916666,0.169288138458721
"2009",1,5.48189018127949,0.406829805869053
"2009",3,15.2059385791328,0.17429519255622
"2010",1,5.60382701682064,0.469118293472556
"2010",3,14.3317486932314,0.197821310507887
"2011",1,4.91089187762267,0.453951269161051
"2011",3,14.7385478245657,0.162916351570943
"2012",1,6.01308295622065,0.353800940009675
"2012",3,14.5781288696625,0.191943567170335
"2013",1,5.6484911121436,0.362932574128571
"2013",3,14.3988178954727,0.208150926142995
"2014",1,5.45615802615755,0.378254231885413
"2014",3,14.6320214170247,0.188805738224305
"2015",1,6.01745992983239,0.301854305442005
"2015",3,13.9166745898169,0.197004942829587
"2016",1,6.19542190543111,0.343851529377955
"2016",3,14.4073258167547,0.21698720110433
"2017",1,6.27948274767,0.352743281061387
"2017",3,14.7718513647731,0.176779827371795
"2018",1,6.23929132072286,0.303121972480569
"2018",3,15.0620455783415,0.219402586545099
"2019",1,6.47452941482152,0.267487206426218
"2019",3,14.3773494327585,0.217730871697027
